Date,Open,High,Low,Close,Volume,Adj Close
2012-02-29,1.409,1.53,1.40,1.475,2743400,14.75
2012-02-28,1.412,1.488,1.362,1.425,2029900,14.25
2012-02-27,1.385,1.445,1.35,1.41,2088500,14.10
2012-02-24,1.402,1.417,1.22,1.385,2158300,13.85
2012-02-23,1.39,1.422,1.35,1.41,2094600,14.10
2012-02-22,1.425,1.435,1.35,1.415,1406300,14.15
2012-02-21,1.496,1.50,1.378,1.425,1392300,14.25
2012-02-20,1.374,1.47,1.32,1.435,3957000,14.35
2012-02-17,1.382,1.40,1.32,1.375,5247100,13.75
2012-02-16,1.415,1.45,1.355,1.40,4710800,14.00
2012-02-15,1.351,1.445,1.309,1.415,6741500,14.15
2012-02-14,1.349,1.41,1.25,1.365,5327700,13.65
2012-02-13,1.575,1.655,1.25,1.335,10729600,13.35
2012-02-10,1.55,1.60,1.504,1.575,1969100,15.75
2012-02-09,1.572,1.586,1.52,1.535,1628000,15.35
2012-02-08,1.582,1.60,1.50,1.575,1511500,15.75
2012-02-07,1.62,1.70,1.55,1.585,2009800,15.85
2012-02-06,1.63,1.63,1.55,1.605,1938400,16.05
2012-02-03,1.66,1.65,1.56,1.625,3457400,16.25
2012-02-02,1.665,1.672,1.60,1.615,3465200,16.15
2012-02-01,1.65,1.689,1.615,1.65,1414000,16.50
2012-01-31,1.577,1.70,1.55,1.625,1508200,16.25
2012-01-30,1.551,1.65,1.551,1.60,907300,16.00
2012-01-27,1.605,1.65,1.55,1.625,2222900,16.25
2012-01-26,1.66,1.662,1.56,1.60,1689400,16.00
2012-01-25,1.655,1.70,1.60,1.65,1570800,16.50
2012-01-24,1.69,1.74,1.65,1.675,1908900,16.75
2012-01-23,1.735,1.89,1.66,1.675,4351600,16.75
2012-01-20,1.72,1.75,1.65,1.675,2120600,16.75
2012-01-19,1.825,1.84,1.708,1.725,1669200,17.25
2012-01-18,1.84,1.885,1.75,1.80,2085800,18.00
2012-01-17,1.75,1.94,1.70,1.85,6773100,18.50
2012-01-16,1.66,1.77,1.66,1.725,2178100,17.25
2012-01-13,1.75,1.90,1.65,1.675,1966500,16.75
2012-01-12,1.62,1.807,1.55,1.725,3356100,17.25
2012-01-11,1.566,1.62,1.51,1.60,1442900,16.00
2012-01-10,1.605,1.67,1.502,1.60,2044300,16.00
2012-01-09,1.70,1.77,1.60,1.625,1334200,16.25
2012-01-06,1.693,1.77,1.608,1.625,2594600,16.25
2012-01-05,1.70,1.70,1.605,1.675,2929800,16.75
2012-01-04,1.734,1.76,1.65,1.675,1299900,16.75
2012-01-03,1.645,1.85,1.62,1.75,4901100,17.50
2012-01-02,1.65,1.65,1.65,1.65,000,16.50
2011-12-30,1.625,1.70,1.576,1.65,1978700,16.50
2011-12-29,1.602,1.66,1.55,1.60,1479200,16.00
2011-12-28,1.71,1.735,1.60,1.65,1904000,16.50
2011-12-27,1.725,1.725,1.725,1.725,000,17.25
2011-12-26,1.725,1.725,1.725,1.725,000,17.25
2011-12-23,1.71,1.80,1.65,1.725,990200,17.25
2011-12-22,1.727,1.75,1.65,1.70,1653200,17.00
2011-12-21,1.67,1.836,1.65,1.675,3257700,16.75
2011-12-20,1.70,1.745,1.551,1.675,3829200,16.75
2011-12-19,1.76,1.80,1.651,1.70,3004400,17.00
2011-12-16,1.69,1.908,1.675,1.775,3727400,17.75
2011-12-15,1.75,1.78,1.65,1.675,1532000,16.75
2011-12-14,1.705,1.83,1.654,1.775,2127000,17.75
2011-12-13,1.775,1.795,1.65,1.70,2050900,17.00
2011-12-12,1.788,1.90,1.70,1.775,2549700,17.75
2011-12-09,1.824,1.824,1.70,1.725,1564400,17.25
2011-12-08,1.925,1.925,1.75,1.825,2388000,18.25
2011-12-07,1.90,1.95,1.83,1.875,1930800,18.75
2011-12-06,2.02,2.02,1.902,1.95,1272000,19.50
2011-12-05,2.05,2.175,1.96,2.025,2023400,20.25
2011-12-02,2.00,2.25,1.95,2.00,4127300,20.00
2011-12-01,1.749,2.12,1.745,1.975,5247500,19.75
2011-11-30,1.76,1.76,1.66,1.725,1438100,17.25
2011-11-29,1.80,1.834,1.60,1.70,2088000,17.00
2011-11-28,1.82,1.84,1.652,1.80,3427600,18.00
2011-11-25,1.791,1.87,1.70,1.825,2997000,18.25
2011-11-24,1.85,1.875,1.701,1.775,1466700,17.75
2011-11-23,1.90,2.00,1.75,1.825,2755400,18.25
2011-11-22,2.065,2.065,1.925,1.975,1796800,19.75
2011-11-21,2.133,2.249,1.96,2.075,2339100,20.75
2011-11-18,2.295,2.325,2.082,2.15,1775900,21.50
2011-11-17,2.50,2.50,2.224,2.275,1271300,22.75
2011-11-16,2.51,2.60,2.351,2.475,1946000,24.75
2011-11-15,2.491,2.775,2.268,2.40,4137100,24.00
2011-11-14,2.64,2.645,2.30,2.45,1995300,24.50
2011-11-11,2.70,2.76,2.40,2.625,3013100,26.25
2011-11-10,2.835,2.86,2.685,2.75,1158000,27.50
2011-11-09,2.80,2.885,2.66,2.825,1090300,28.25
2011-11-08,2.88,3.10,2.75,2.775,819500,27.75
2011-11-07,2.781,2.913,2.67,2.85,1554800,28.50
2011-11-04,2.785,2.86,2.53,2.75,1569300,27.50
2011-11-03,2.90,2.98,2.635,2.775,1597200,27.75
2011-11-02,3.13,3.13,2.76,2.95,2022600,29.50
2011-11-01,3.24,3.24,2.90,3.125,1841800,31.25
2011-10-31,3.215,3.62,3.05,3.25,2761900,32.50
2011-10-28,3.15,3.40,3.123,3.20,3303900,32.00
2011-10-27,2.85,3.45,2.85,3.075,5932200,30.75
2011-10-26,2.39,2.99,2.343,2.80,5181900,28.00
2011-10-25,2.19,2.40,2.15,2.35,1841100,23.50
2011-10-24,2.05,2.19,2.004,2.10,531200,21.00
2011-10-21,2.111,2.15,2.00,2.075,373200,20.75
2011-10-20,2.142,2.17,2.07,2.10,135800,21.00
2011-10-19,2.065,2.20,2.00,2.10,519000,21.00
2011-10-18,2.185,2.185,2.05,2.125,663000,21.25
2011-10-17,2.22,2.25,2.12,2.15,682900,21.50
2011-10-14,2.051,2.235,2.05,2.175,595400,21.75
2011-10-13,2.20,2.35,1.90,2.125,1198500,21.25
2011-10-12,2.001,2.211,2.001,2.15,562500,21.50
2011-10-11,2.095,2.125,1.986,2.025,428500,20.25
2011-10-10,2.016,2.17,2.00,2.10,494100,21.00
2011-10-07,2.002,2.086,1.951,2.025,364100,20.25
2011-10-06,1.96,2.10,1.85,2.05,510800,20.50
2011-10-05,2.099,2.099,1.95,2.025,622200,20.25
2011-10-04,2.10,2.25,1.935,2.00,1736000,20.00
2011-10-03,2.125,2.30,2.10,2.15,524900,21.50
2011-09-30,2.162,2.25,2.057,2.175,571800,21.75
2011-09-29,2.20,2.378,2.152,2.20,850900,22.00
2011-09-28,2.117,2.20,2.07,2.175,736100,21.75
2011-09-27,2.15,2.28,2.075,2.125,574700,21.25
2011-09-26,2.21,2.27,2.133,2.175,731700,21.75
2011-09-23,2.135,2.319,2.01,2.25,965700,22.50
2011-09-22,2.251,2.275,2.05,2.125,1050300,21.25
2011-09-21,2.30,2.35,2.20,2.275,801200,22.75
2011-09-20,2.327,2.35,2.26,2.325,471600,23.25
2011-09-19,2.407,2.44,2.30,2.325,574000,23.25
2011-09-16,2.44,2.50,2.33,2.40,614300,24.00
2011-09-15,2.35,2.525,2.325,2.40,596300,24.00
2011-09-14,2.36,2.36,2.25,2.35,453600,23.50
